kimble_id,resource_bu,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,month_end_title,client_unit,legal_entity,month_end_helper,adjustments,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
KE011349-001,PSU PL,569,569,569,569,569,569,569,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011350-001,PSU PL,450,450,450,450,450,450,450,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011384-001,PSU PL,424.07,420.38,419.16,419.17,415.43,415.13,414.76,413.52,415,415.45,416.26,417.99,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011405-001,PSU PL,373.73,373.45,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011406-001,PSU PL,382.9,376.1,377.54,376.51,374.02,352.71,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011406-001,PSU UK,660,660,660,660,660,660,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011406-011,PSU PL,0,0,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011412-001,PSU UK,870.79,866.67,870,864.16,853.15,796.43,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011413-001,PSU UK,,,,1125,1125,1125,1125,1125,1125,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011622-001,PSU UK,1346.15,1275.51,1276.71,1313.56,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011712-001,PSU UK,,,,1500,1500,1500,1500,1500,1500,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011755-001,PSU PL,,,,434.5,434.5,434.5,434.5,434.5,434.5,434.5,434.5,434.5,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011811-001,PSU PL,450,450,450,450,450,450,450,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011811-001,PSU UK,812.5,812.5,810.63,811.04,811.59,816.67,850,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011811-011,PSU PL,355.1,373.3,375,375,373.66,373.5,386.54,450,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE011894-001,PSU PL,388.75,389.8,389.8,391.55,389.8,388.08,392,366.67,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012095-001,PSU PL,,,,430,430,430,430,430,430,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012095-001,PSU UK,,,,1050,1050,1050,1050,1050,1050,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012104-001,PSU PL,,,,450,450,450,450,450,450,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012104-001,PSU UK,,,,1425,1425,1425,1425,1425,1425,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012105-001,PSU PL,,,,411.5,411.5,411.5,411.5,411.5,411.5,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012105-001,PSU UK,,,,1000,1000,1000,1000,1000,1000,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012186-001,PSU UK,,,,,,1000,1000,1000,1000,1000,1000,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012219-001,PSU PL,350,350,350,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012319-001,PSU PL,,,450,453.06,452.09,452,463.88,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
